id,loan_status,prob
58645,1,0.9821
58646,0,0.0247
58647,0,0.4456
58648,0,0.0159
58649,0,0.1282
58650,1,0.9249
58651,0,0.0015
58652,0,0.0111
58653,0,0.2911
58654,0,0.0287
58655,0,0.0659
58656,0,0.1127
58657,0,0.0324
58658,0,0.0088
58659,0,0.026
58660,0,0.0937
58661,0,0.0128
58662,0,0.0011
58663,0,0.0426
58664,0,0.0032
58665,0,0.0473
58666,0,0.0096
58667,0,0.0041
58668,0,0.0101
58669,0,0.0114
58670,0,0.0022
58671,0,0.2136
58672,0,0.0058
58673,1,0.7834
58674,0,0.0019
58675,0,0.0162
58676,0,0.2014
58677,0,0.0273
58678,0,0.0055
58679,0,0.3967
58680,1,0.9392
58681,0,0.0462
58682,0,0.0022
58683,0,0.0098
58684,0,0.1257
58685,0,0.1348
58686,0,0.0241
58687,0,0.3303
58688,0,0.0256
58689,0,0.291
58690,0,0.0005
58691,0,0.0314
58692,0,0.0269
58693,0,0.0108
58694,0,0.0387
58695,1,0.823
58696,0,0.0217
58697,0,0.0491
58698,0,0.0184
58699,0,0.0172
58700,0,0.0074
58701,0,0.0115
58702,0,0.0257
58703,0,0.1319
58704,0,0.2715
58705,0,0.2235
58706,0,0.0486
58707,0,0.0181
58708,0,0.0286
58709,1,0.8172
58710,0,0.0376
58711,1,0.8532
58712,0,0.0533
58713,0,0.0024
58714,0,0.028
58715,0,0.006
58716,0,0.1501
58717,0,0.0165
58718,0,0.1376
58719,0,0.0044
58720,0,0.0008
58721,0,0.073
58722,0,0.1527
58723,0,0.0191
58724,0,0.0182
58725,0,0.0214
58726,0,0.0171
58727,0,0.2513
58728,0,0.1533
58729,0,0.0111
58730,0,0.0052
58731,0,0.0174
58732,0,0.088
58733,0,0.0004
58734,0,0.0203
58735,0,0.0253
58736,0,0.1183
58737,0,0.0561
58738,1,0.9633
58739,0,0.3671
58740,1,0.7145
58741,0,0.0426
58742,0,0.0056
58743,0,0.0284
58744,0,0.0093
58745,0,0.01
58746,0,0.0565
58747,0,0.0071
58748,0,0.0207
58749,0,0.0295
58750,0,0.0132
58751,0,0.047
58752,1,0.9019
58753,0,0.0063
58754,0,0.0668
58755,0,0.1017
58756,0,0.0064
58757,0,0.0296
58758,0,0.0107
58759,0,0.0014
58760,0,0.0008
58761,0,0.0148
58762,0,0.0066
58763,1,0.9414
58764,0,0.0026
58765,0,0.041
58766,0,0.0126
58767,0,0.02
58768,1,0.9275
58769,0,0.0099
58770,0,0.0324
58771,0,0.0739
58772,0,0.0246
58773,0,0.0297
58774,0,0.0196
58775,1,0.9102
58776,1,0.8582
58777,0,0.0196
58778,0,0.0427
58779,0,0.041
58780,0,0.0143
58781,0,0.041
58782,0,0.0624
58783,0,0.082
58784,0,0.0111
58785,0,0.0072
58786,0,0.0284
58787,0,0.0309
58788,0,0.1451
58789,0,0.0499
58790,0,0.0496
58791,0,0.1319
58792,0,0.001
58793,0,0.0511
58794,0,0.0166
58795,0,0.0417
58796,0,0.0261
58797,0,0.0245
58798,0,0.0953
58799,1,0.6633
58800,0,0.0482
58801,0,0.0042
58802,1,0.8447
58803,0,0.1869
58804,0,0.4254
58805,1,0.7996
58806,0,0.065
58807,0,0.0118
58808,0,0.0151
58809,1,0.9405
58810,1,0.8974
58811,0,0.0325
58812,0,0.0471
58813,0,0.0315
58814,0,0.0807
58815,0,0.0119
58816,0,0.0201
58817,0,0.0029
58818,0,0.0619
58819,0,0.1353
58820,0,0.0036
58821,0,0.0327
58822,0,0.0074
58823,0,0.18
