id,loan_status,prob
58645,1,0.9977
58646,0,0.0155
58647,0,0.4462
58648,0,0.0061
58649,0,0.0196
58650,1,0.9484
58651,0,0.0005
58652,0,0.0116
58653,1,0.7161
58654,0,0.0064
58655,0,0.073
58656,0,0.0828
58657,0,0.0105
58658,0,0.0025
58659,0,0.0118
58660,0,0.1199
58661,0,0.0084
58662,0,0.0005
58663,0,0.059
58664,0,0.0009
58665,0,0.0097
58666,0,0.0039
58667,0,0.0008
58668,0,0.006
58669,0,0.008
58670,0,1e-04
58671,0,0.0693
58672,0,0.0015
58673,1,0.8789
58674,0,0.0007
58675,0,0.0055
58676,0,0.0972
58677,0,0.0179
58678,0,0.0033
58679,0,0.2855
58680,1,0.9851
58681,0,0.0846
58682,0,0.0005
58683,0,0.0009
58684,0,0.2364
58685,0,0.1665
58686,0,0.0358
58687,0,0.4039
58688,0,0.1207
58689,0,0.1618
58690,0,0.0
58691,0,0.0118
58692,0,0.0063
58693,0,0.0023
58694,0,0.1205
58695,1,0.9864
58696,0,0.0047
58697,0,0.0149
58698,0,0.0065
58699,0,0.0074
58700,0,0.005
58701,0,0.001
58702,0,0.0081
58703,0,0.0728
58704,0,0.3068
58705,0,0.0579
58706,0,0.0143
58707,0,0.0068
58708,0,0.0336
58709,1,0.9437
58710,0,0.0339
58711,1,0.9699
58712,0,0.1383
58713,0,0.0002
58714,0,0.0187
58715,0,0.0046
58716,0,0.1897
58717,0,0.0239
58718,0,0.0249
58719,0,0.0005
58720,0,0.0002
58721,0,0.088
58722,0,0.1185
58723,0,0.0026
58724,0,0.0159
58725,0,0.017
58726,0,0.0091
58727,0,0.1308
58728,0,0.1563
58729,0,0.0066
58730,0,0.0005
58731,0,0.0058
58732,0,0.2952
58733,0,0.0
58734,0,0.0125
58735,0,0.0114
58736,0,0.0609
58737,0,0.0197
58738,1,0.9945
58739,0,0.3502
58740,1,0.9318
58741,0,0.071
58742,0,0.003
58743,0,0.0051
58744,0,0.0044
58745,0,0.0027
58746,0,0.0586
58747,0,0.001
58748,0,0.0181
58749,0,0.0147
58750,0,0.0022
58751,0,0.0312
58752,1,0.9486
58753,0,0.0005
58754,0,0.0969
58755,0,0.1836
58756,0,0.0024
58757,0,0.0135
58758,0,0.0037
58759,0,0.0055
58760,0,0.0051
58761,0,0.0065
58762,0,0.0007
58763,1,0.9892
58764,0,0.0006
58765,0,0.016
58766,0,0.0063
58767,0,0.0049
58768,1,0.9712
58769,0,0.0007
58770,0,0.0364
58771,0,0.037
58772,0,0.0155
58773,0,0.0126
58774,0,0.0074
58775,1,0.9671
58776,1,0.875
58777,0,0.0075
58778,0,0.0886
58779,0,0.0566
58780,0,0.0177
58781,0,0.0145
58782,0,0.0681
58783,0,0.0278
58784,0,0.0067
58785,0,0.0024
58786,0,0.1261
58787,0,0.0592
58788,0,0.1483
58789,0,0.0112
58790,0,0.0308
58791,0,0.0764
58792,0,1e-04
58793,0,0.0251
58794,0,0.0058
58795,0,0.0097
58796,0,0.0251
58797,0,0.0105
58798,0,0.0268
58799,1,0.9651
58800,0,0.0078
58801,0,0.0023
58802,1,0.9319
58803,0,0.2817
58804,0,0.4897
58805,1,0.9655
58806,0,0.058
58807,0,0.0093
58808,0,0.0132
58809,1,0.8927
58810,1,0.952
58811,0,0.026
58812,0,0.0183
58813,0,0.0516
58814,0,0.028
58815,0,0.0016
58816,0,0.006
58817,0,0.0008
58818,0,0.017
58819,0,0.0846
58820,0,0.0006
58821,0,0.0149
58822,0,0.0002
58823,0,0.0705
58824,0,0.036
58825,0,1e-04
58826,0,0.0743
58827,0,0.0117
58828,0,0.0017
58829,0,0.1136
58830,0,0.0125
58831,0,0.2149
58832,0,0.0057
58833,0,0.0011
58834,0,0.0024
58835,1,0.9831
58836,0,0.0121
58837,0,0.0381
58838,0,0.0049
58839,0,1e-04
58840,0,0.0064
58841,1,0.9557
58842,0,0.0015
58843,0,0.0038
58844,0,0.0465
58845,0,0.0687
58846,0,0.0
58847,1,0.9731
58848,0,0.2885
58849,0,0.1288
58850,0,0.0162
58851,0,0.0854
58852,0,0.2176
58853,0,0.0297
58854,1,0.994
58855,0,0.3107
58856,0,0.0007
58857,0,0.0152
58858,0,0.2303
58859,0,0.0109
58860,0,0.0018
58861,0,0.0203
58862,0,0.0988
58863,0,0.3762
