sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0189,0.8853,0.0958
6.9,3.1,5.1,2.3,virginica,0.0002,0.0576,0.9422
5.1,2.5,3.0,1.1,versicolor,0.1002,0.8869,0.0129
4.4,2.9,,0.2,setosa,0.6072,0.3923,0.0004
5.9,3.0,5.1,1.8,virginica,0.0058,0.3209,0.6733
5.5,3.5,1.3,0.2,setosa,0.9643,0.0357,0.0
5.6,,3.6,1.3,versicolor,0.1373,0.8244,0.0383
6.5,3.0,5.2,2.0,virginica,0.0008,0.1514,0.8479
5.3,3.7,1.5,0.2,setosa,0.9856,0.0144,0.0
5.1,3.4,1.5,,setosa,0.9005,0.0992,0.0003
6.1,2.8,4.0,1.3,versicolor,0.0225,0.8973,0.0801
5.5,2.4,3.7,1.0,versicolor,0.0246,0.9525,0.0229
7.7,3.0,6.1,2.3,virginica,0.0,0.0166,0.9834
6.9,3.1,4.9,1.5,versicolor,0.0056,0.6714,0.323
6.0,2.2,5.0,1.5,virginica,0.0005,0.4939,0.5056
